age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,lifestyle_change
0,1,6,5,5,0.5,2,3,0.0,0.0,0.5,1.0,0.5,0.5,10,11,1,0,1
1,2,5,7,7,0.5,1,3,1.0,0.5,1.0,1.0,1.0,1.0,100,10,1,2,1
1,0,7,9,9,1.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1010,111,1,2,1
1,0,5,4,7,2.5,2,5,1.0,1.0,1.0,1.0,1.0,1.0,1111,100,1,0,1
1,1,5,9,4,1.5,3,2,0.0,0.5,0.5,0.5,0.0,0.5,1010,1001,0,2,1
1,1,5,9,5,2.5,2,4,0.0,-0.5,1.0,1.0,0.5,1.0,1100,1111,0,2,1
1,1,5,7,5,1.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,10,1101,0,2,1
4,1,7,9,9,1.5,1,4,0.0,0.5,0.0,0.5,0.5,1.0,1000,1000,1,2,1
1,1,5,9,5,3.0,1,3,0.0,1.0,1.0,1.0,1.0,1.0,1111,1,0,2,1
0,0,5,9,7,0.5,3,4,0.0,0.5,0.5,1.0,0.0,0.0,1110,1111,0,2,1
1,1,7,7,4,0.5,3,3,-0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,1
1,0,7,9,9,0.5,3,2,0.5,1.0,0.5,1.0,1.0,1.0,1011,1111,0,2,1
2,1,5,12,12,0.5,2,1,0.5,0.5,0.5,0.5,0.5,0.5,1100,1,1,2,1
3,1,0,5,7,2.5,4,4,-0.5,0.5,0.5,0.5,1.0,0.5,101,1100,1,2,1
6,0,2,4,4,0.5,4,4,0.0,0.5,0.5,0.5,0.5,0.5,1010,1001,1,2,1
1,1,5,5,7,0.5,1,1,1.0,0.5,1.0,1.0,1.0,1.0,1110,1,1,2,1
6,1,0,4,4,0.5,5,2,-1.0,1.0,1.0,1.0,1.0,1.0,1110,100,1,0,1
0,0,6,7,7,0.5,1,4,-0.5,-0.5,1.0,1.0,1.0,1.0,1,1,1,2,1
3,1,7,11,11,1.5,4,3,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,0,1,1
6,1,0,4,4,1.5,5,5,-0.5,1.0,1.0,1.0,1.0,1.0,1110,1,1,2,1
6,1,7,9,7,1.5,5,2,-0.5,1.0,1.0,1.0,1.0,1.0,1110,1,1,2,1
3,2,1,9,9,0.5,2,1,1.0,-0.5,1.0,1.0,1.0,1.0,1110,1001,0,0,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
