age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,lifestyle_change
1,1,5,5,4,0.5,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,0,0,0
1,1,5,9,4,2.5,1,1,0.0,-0.5,0.5,0.0,0.0,0.0,1010,1011,0,0,0
5,1,7,9,11,2.5,4,3,-0.5,-0.5,0.5,0.5,0.0,0.5,1100,1101,0,2,0
1,1,5,7,7,2.5,3,3,0.0,-0.5,0.5,0.5,0.0,0.0,1000,1,0,0,0
1,1,5,4,7,0.5,4,3,0.5,-0.5,0.0,0.0,-0.5,0.5,1000,1101,0,2,0
4,0,2,5,9,0.5,1,2,0.5,0.0,0.5,0.5,0.0,0.0,100,10,1,0,0
0,1,5,7,9,0.5,4,3,-0.5,-1.0,0.5,0.5,-0.5,0.0,100,1110,0,1,0
1,1,5,7,5,1.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,100,0,1,0
1,1,5,9,4,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0.0,111,1100,0,2,0
1,1,5,7,11,0.5,3,3,1.0,-1.0,1.0,-1.0,-1.0,1.0,10,1111,0,0,0
0,1,5,7,5,1.5,5,5,0.0,0.5,-0.5,0.0,-0.5,-0.5,100,1111,0,0,0
5,0,2,7,9,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100,100,1,0,0
1,1,5,7,5,1.5,1,4,-0.5,-0.5,0.0,0.0,0.0,0.0,1010,1100,1,0,0
1,1,5,7,4,0.5,2,3,0.0,0.0,-1.0,1.0,0.0,-1.0,100,101,1,2,0
0,1,6,7,5,0.5,4,2,-0.5,0.0,0.5,1.0,0.0,0.0,100,1000,0,1,0
1,1,5,7,4,0.5,1,1,0.0,0.0,1.0,0.0,-1.0,1.0,10,1111,0,2,0
0,0,5,7,12,1.5,1,3,1.0,-1.0,0.0,-1.0,1.0,-0.5,1111,1100,1,2,0
1,1,7,9,9,0.5,4,2,-0.5,-0.5,1.0,0.0,-0.5,0.5,1000,1110,0,0,0
4,0,3,9,4,2.5,3,5,-0.5,0.0,0.0,0.5,0.0,0.0,10,1000,0,1,0
5,1,7,11,11,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,1,2,0
2,1,7,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,0,1,0
2,1,1,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,0,2,0
2,1,7,7,5,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,1,1,0
3,1,7,7,7,3.0,2,5,-0.5,0.5,-0.5,0.5,0.5,0.5,1000,100,0,2,0
5,1,7,9,9,0.5,2,4,-1.0,0.0,0.5,0.5,-0.5,0.0,1100,1,0,2,0
4,1,7,9,11,0.5,2,2,0.5,0.0,0.0,1.0,0.0,0.0,1100,1111,0,1,0
2,2,7,11,11,2.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1000,1001,0,0,0
4,1,7,7,9,0.5,2,2,-0.5,0.0,0.5,0.5,0.0,0.5,1100,1010,0,2,0
4,1,7,9,12,1.5,2,1,1.0,0.0,-0.5,-0.5,0.5,0.0,1000,1,1,2,0
2,1,7,9,12,0.5,3,3,0.0,-1.0,0.0,0.0,0.0,0.0,1100,1111,0,2,0
2,1,7,9,11,0.5,3,2,0.0,0.0,-0.5,1.0,0.5,0.0,1111,1010,0,2,0
1,1,7,9,4,0.5,2,2,0.5,-0.5,0.0,1.0,-1.0,-0.5,100,1101,0,2,0
5,0,7,9,11,1.5,3,2,0.0,-0.5,0.5,0.0,0.0,0.0,1000,11,0,1,0
5,1,7,9,5,1.5,2,1,-0.5,-0.5,-0.5,0.5,0.0,0.5,1000,11,0,2,0
2,1,7,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,0,2,0
2,0,7,7,7,1.5,3,3,0.0,0.0,0.0,0.5,0.0,0.0,1000,1000,1,2,0
4,0,1,9,9,0.5,1,1,0.0,0.0,-0.5,1.0,1.0,0.0,1001,10,1,2,0
4,1,7,9,9,0.5,3,4,0.0,0.0,0.5,0.5,0.0,0.5,1000,1,0,2,0
3,1,1,5,4,0.5,1,2,0.0,-1.0,0.5,0.5,0.5,-0.5,1000,100,0,1,0
1,1,5,7,9,0.5,5,4,0.0,-0.5,0.0,0.0,-0.5,0.0,1000,1110,0,2,0
4,0,1,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,0,2,0
3,1,7,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,0,1,0
3,0,2,5,9,0.5,5,3,0.5,-0.5,0.0,1.0,-0.5,-0.5,100,100,1,2,0
2,1,0,5,4,2.5,4,4,-1.0,0.5,0.0,0.5,-0.5,-0.5,100,1101,0,1,0
4,1,7,11,9,1.5,2,1,0.0,-0.5,0.5,0.5,0.5,0.5,1100,1100,1,2,0
5,0,7,7,5,2.5,1,3,0.0,0.0,0.0,0.0,0.5,0.5,1100,100,1,2,0
5,1,7,7,7,1.5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
